subject_id,method,source_fig,fs_hz,dom_freq_hz,dom_bpm,window_hr_bpm_1,window_hr_bpm_2,window_hr_bpm_3,window_hr_bpm_4,window_hr_bpm_5,window_hr_bpm_6,window_peak_ratio_1,window_peak_ratio_2,window_peak_ratio_3,window_peak_ratio_4,window_peak_ratio_5,window_peak_ratio_6
subject1,AGRD,subject1_AGRD_iPPG.fig,30.0000000000001,0.761718750000003,45.7031250000002,45.7031250000002,45.7031250000002,59.7656250000002,52.7343750000002,45.7031250000002,,12.513458914714,8.14927109035194,7.08727553112659,17.8622277149632,23.826515466014,
subject2,AGRD,subject2_AGRD_iPPG.fig,30.0000000000001,0.878906250000003,52.7343750000002,42.1875000000001,42.1875000000001,42.1875000000001,73.8281250000003,73.8281250000003,63.2812500000002,13.797607325723,12.8008607137665,23.8178046521597,37.8903440793386,11.3134722377967,8.25527750742397
subject3,AGRD,subject3_AGRD_iPPG.fig,30.0000000000001,0.878906250000003,52.7343750000002,42.1875000000001,52.7343750000002,52.7343750000002,73.8281250000003,49.2187500000002,84.3750000000003,8.41516536501055,6.12691542559489,8.9898737779851,9.75275293956535,11.1597318659618,17.2207021637691
subject4,AGRD,subject4_AGRD_iPPG.fig,30.0000000000001,1.025390625,61.5234375000002,63.2812500000002,63.2812500000002,59.7656250000002,56.2500000000002,63.2812500000002,42.1875000000001,15.0308526600024,5.32050381488677,4.4833114560554,15.9527186280941,13.8183257046038,5.19209885058209
subject1,CHROM,subject1_CHROM_iPPG.fig,30.0000000000001,1.318359375,79.1015625000003,52.7343750000002,105.46875,52.7343750000002,108.984375,,,6.04047251824684,8.83092762253927,2.46607924667076,5.1527469704039,,
subject2,CHROM,subject2_CHROM_iPPG.fig,30.0000000000001,0.878906250000003,52.7343750000002,42.1875000000001,42.1875000000001,42.1875000000001,73.8281250000003,73.8281250000003,63.2812500000002,13.797607325723,12.8008607137665,23.8178046521597,37.8903440793386,11.3134722377967,8.25527750742397
subject3,CHROM,subject3_CHROM_iPPG.fig,30.0000000000001,0.878906250000003,52.7343750000002,42.1875000000001,52.7343750000002,52.7343750000002,73.8281250000003,49.2187500000002,84.3750000000003,8.41516536501055,6.12691542559489,8.9898737779851,9.75275293956535,11.1597318659618,17.2207021637691
subject4,CHROM,subject4_CHROM_iPPG.fig,30.0000000000001,1.025390625,61.5234375000002,63.2812500000002,63.2812500000002,59.7656250000002,56.2500000000002,63.2812500000002,42.1875000000001,15.0308526600024,5.32050381488677,4.4833114560554,15.9527186280941,13.8183257046038,5.19209885058209
subject1,GREEN,subject1_GREEN_iPPG.fig,30.0000000000001,0.820312500000003,49.2187500000002,45.7031250000002,49.2187500000002,80.8593750000003,80.8593750000003,45.7031250000002,,7.49749861786138,8.57162347560256,10.4395027797571,13.3224419834366,28.9189733938555,
subject2,GREEN,subject2_GREEN_iPPG.fig,30.0000000000001,0.878906250000003,52.7343750000002,42.1875000000001,42.1875000000001,42.1875000000001,73.8281250000003,73.8281250000003,63.2812500000002,13.797607325723,12.8008607137665,23.8178046521597,37.8903440793386,11.3134722377967,8.25527750742397
subject3,GREEN,subject3_GREEN_iPPG.fig,30.0000000000001,0.878906250000003,52.7343750000002,42.1875000000001,52.7343750000002,52.7343750000002,73.8281250000003,49.2187500000002,84.3750000000003,8.41516536501055,6.12691542559489,8.9898737779851,9.75275293956535,11.1597318659618,17.2207021637691
subject4,GREEN,subject4_GREEN_iPPG.fig,30.0000000000001,1.025390625,61.5234375000002,63.2812500000002,63.2812500000002,59.7656250000002,56.2500000000002,63.2812500000002,42.1875000000001,15.0308526600024,5.32050381488677,4.4833114560554,15.9527186280941,13.8183257046038,5.19209885058209
subject1,G_MINUS_R,subject1_G_MINUS_R_iPPG.fig,30.0000000000001,0.937500000000003,56.2500000000002,45.7031250000002,45.7031250000002,59.7656250000002,56.2500000000002,73.8281250000003,,8.43804534622685,11.4178148807442,10.4324860551346,21.5446349440035,17.824959552078,
subject2,G_MINUS_R,subject2_G_MINUS_R_iPPG.fig,30.0000000000001,0.878906250000003,52.7343750000002,42.1875000000001,42.1875000000001,42.1875000000001,73.8281250000003,73.8281250000003,63.2812500000002,13.797607325723,12.8008607137665,23.8178046521597,37.8903440793386,11.3134722377967,8.25527750742397
subject3,G_MINUS_R,subject3_G_MINUS_R_iPPG.fig,30.0000000000001,0.878906250000003,52.7343750000002,42.1875000000001,52.7343750000002,52.7343750000002,73.8281250000003,49.2187500000002,84.3750000000003,8.41516536501055,6.12691542559489,8.9898737779851,9.75275293956535,11.1597318659618,17.2207021637691
subject4,G_MINUS_R,subject4_G_MINUS_R_iPPG.fig,30.0000000000001,1.025390625,61.5234375000002,63.2812500000002,63.2812500000002,59.7656250000002,56.2500000000002,63.2812500000002,42.1875000000001,15.0308526600024,5.32050381488677,4.4833114560554,15.9527186280941,13.8183257046038,5.19209885058209
subject1,ICA,subject1_ICA_iPPG.fig,30.0000000000001,1.34765625,80.8593750000003,59.7656250000002,80.8593750000003,80.8593750000003,80.8593750000003,45.7031250000002,,6.39755732836676,8.30308457973918,11.8808098350826,12.7910722472674,24.4151270876939,
subject2,ICA,subject2_ICA_iPPG.fig,30.0000000000001,0.878906250000003,52.7343750000002,42.1875000000001,42.1875000000001,42.1875000000001,73.8281250000003,73.8281250000003,63.2812500000002,13.797607325723,12.8008607137665,23.8178046521597,37.8903440793386,11.3134722377967,8.25527750742397
subject3,ICA,subject3_ICA_iPPG.fig,30.0000000000001,0.878906250000003,52.7343750000002,42.1875000000001,52.7343750000002,52.7343750000002,73.8281250000003,49.2187500000002,84.3750000000003,8.41516536501055,6.12691542559489,8.9898737779851,9.75275293956535,11.1597318659618,17.2207021637691
subject4,ICA,subject4_ICA_iPPG.fig,30.0000000000001,1.025390625,61.5234375000002,63.2812500000002,63.2812500000002,59.7656250000002,56.2500000000002,63.2812500000002,42.1875000000001,15.0308526600024,5.32050381488677,4.4833114560554,15.9527186280941,13.8183257046038,5.19209885058209
subject1,POS,subject1_POS_iPPG.fig,30.0000000000001,1.34765625,80.8593750000003,105.46875,105.46875,56.2500000000002,56.2500000000002,,,5.63771726052689,5.93834215822404,19.3523687590153,12.2164402077061,,
subject2,POS,subject2_POS_iPPG.fig,30.0000000000001,0.878906250000003,52.7343750000002,42.1875000000001,42.1875000000001,42.1875000000001,73.8281250000003,73.8281250000003,63.2812500000002,13.797607325723,12.8008607137665,23.8178046521597,37.8903440793386,11.3134722377967,8.25527750742397
subject3,POS,subject3_POS_iPPG.fig,30.0000000000001,0.878906250000003,52.7343750000002,42.1875000000001,52.7343750000002,52.7343750000002,73.8281250000003,49.2187500000002,84.3750000000003,8.41516536501055,6.12691542559489,8.9898737779851,9.75275293956535,11.1597318659618,17.2207021637691
subject4,POS,subject4_POS_iPPG.fig,30.0000000000001,1.025390625,61.5234375000002,63.2812500000002,63.2812500000002,59.7656250000002,56.2500000000002,63.2812500000002,42.1875000000001,15.0308526600024,5.32050381488677,4.4833114560554,15.9527186280941,13.8183257046038,5.19209885058209
